adm1_name,date,weather_lat,weather_lon,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN
ACEH,2007-01-01,5.175,96.13499999999999,22.52,27.91,17.72,6.35,90.56,0.26,16.28
ACEH,2007-02-01,5.175,96.13499999999999,22.27,27.88,17.27,3.64,87.91,0.3,19.27
ACEH,2007-03-01,5.175,96.13499999999999,22.96,28.39,17.72,4.58,87.06,0.27,18.99
ACEH,2007-04-01,5.175,96.13499999999999,23.19,28.95,19.91,6.44,90.4,0.28,18.44
ACEH,2007-05-01,5.175,96.13499999999999,23.13,27.96,18.97,3.8,90.03,0.27,18.56
ACEH,2007-06-01,5.175,96.13499999999999,22.75,27.11,17.08,4.5,91.24,0.3,16.42
ACEH,2007-07-01,5.175,96.13499999999999,22.34,27.87,19.0,4.87,90.32,0.31,16.34
ACEH,2007-08-01,5.175,96.13499999999999,22.41,27.4,17.82,1.89,87.61,0.32,17.54
ACEH,2007-09-01,5.175,96.13499999999999,22.47,27.79,18.57,4.01,86.83,0.32,17.67
ACEH,2007-10-01,5.175,96.13499999999999,22.09,27.62,18.42,9.14,90.33,0.3,15.01
ACEH,2007-11-01,5.175,96.13499999999999,22.17,27.93,18.67,7.0,90.81,0.29,15.18
ACEH,2007-12-01,5.175,96.13499999999999,22.02,27.0,18.42,8.14,90.81,0.34,14.49
ACEH,2008-01-01,5.175,96.13499999999999,22.49,27.62,18.89,3.29,90.49,0.24,16.85
ACEH,2008-02-01,5.175,96.13499999999999,22.26,27.67,17.15,2.09,87.31,0.29,17.78
ACEH,2008-03-01,5.175,96.13499999999999,22.45,28.14,17.95,8.9,89.76,0.27,17.11
ACEH,2008-04-01,5.175,96.13499999999999,22.96,28.81,19.24,7.21,90.09,0.29,17.16
ACEH,2008-05-01,5.175,96.13499999999999,22.91,27.83,19.69,2.04,88.59,0.31,18.03
ACEH,2008-06-01,5.175,96.13499999999999,22.56,27.54,18.82,2.88,89.18,0.29,17.85
