sample_id,adm1_name,reference_date,quarter,acquisition_datetime,stac_item_id,scene_cloud_cover,center_lat,center_lon,patch_meters,patch_pixels,valid_fraction,ndvi_mean,ndvi_std,shard_file,array_index,source_collection,source_platform
aceh_2022_q1,ACEH,2022-01-01,1,2022-01-14T03:51:21.024000+00:00,S2A_MSIL2A_20220114T035121_R104_T46NHL_20220114T121218,12.210564,5.175,96.135,6400.0,64,0.884521484375,0.8236459493637085,0.11400069296360016,chips/sentinel2_quarterly_2022.npz,0,sentinel-2-l2a,Microsoft Planetary Computer STAC
aceh_2022_q2,ACEH,2022-04-01,2,2022-06-13T03:45:51.024000+00:00,S2A_MSIL2A_20220613T034551_R104_T46NHL_20220614T002155,9.508791,5.175,96.135,6400.0,64,0.99755859375,0.5728158354759216,0.04965116083621979,chips/sentinel2_quarterly_2022.npz,1,sentinel-2-l2a,Microsoft Planetary Computer STAC
aceh_2022_q3,ACEH,2022-07-01,3,2022-07-18T03:45:39.024000+00:00,S2B_MSIL2A_20220718T034539_R104_T46NHL_20220718T150131,21.630536,5.175,96.135,6400.0,64,0.77978515625,0.546525776386261,0.06980457901954651,chips/sentinel2_quarterly_2022.npz,2,sentinel-2-l2a,Microsoft Planetary Computer STAC
aceh_2022_q4,ACEH,2022-10-01,4,2022-11-25T03:50:59.024000+00:00,S2B_MSIL2A_20221125T035059_R104_T46NHL_20221126T090359,65.668589,5.175,96.135,6400.0,64,0.2001953125,0.3280499279499054,0.14759139716625214,chips/sentinel2_quarterly_2022.npz,3,sentinel-2-l2a,Microsoft Planetary Computer STAC
bali_2022_q1,BALI,2022-01-01,1,2022-03-23T02:15:59.024000+00:00,S2B_MSIL2A_20220323T021559_R003_T50LKR_20240531T104346,34.487069,-8.385,115.15,6400.0,64,0.0,,,chips/sentinel2_quarterly_2022.npz,4,sentinel-2-l2a,Microsoft Planetary Computer STAC
bali_2022_q2,BALI,2022-04-01,2,2022-05-22T02:16:09.024000+00:00,S2B_MSIL2A_20220522T021609_R003_T50LKR_20220523T034705,5.238895,-8.385,115.15,6400.0,64,1.0,0.5200130939483643,0.05781273543834686,chips/sentinel2_quarterly_2022.npz,5,sentinel-2-l2a,Microsoft Planetary Computer STAC
bali_2022_q3,BALI,2022-07-01,3,2022-08-05T02:15:41.024000+00:00,S2A_MSIL2A_20220805T021541_R003_T50LKR_20220805T152828,12.681618,-8.385,115.15,6400.0,64,0.632080078125,0.44998303055763245,0.10024245828390121,chips/sentinel2_quarterly_2022.npz,6,sentinel-2-l2a,Microsoft Planetary Computer STAC
bali_2022_q4,BALI,2022-10-01,4,2022-11-03T02:18:41.024000+00:00,S2A_MSIL2A_20221103T021841_R003_T50LKR_20240723T001232,18.978587,-8.385,115.15,6400.0,64,0.47607421875,0.45511242747306824,0.12026200443506241,chips/sentinel2_quarterly_2022.npz,7,sentinel-2-l2a,Microsoft Planetary Computer STAC
banten_2022_q1,BANTEN,2022-01-01,1,2022-01-24T03:00:09.024000+00:00,S2B_MSIL2A_20220124T030009_R032_T48MXU_20220124T174648,32.987327,-6.11,106.16,6400.0,64,0.954345703125,0.49062463641166687,0.23654760420322418,chips/sentinel2_quarterly_2022.npz,8,sentinel-2-l2a,Microsoft Planetary Computer STAC
banten_2022_q2,BANTEN,2022-04-01,2,2022-04-14T02:55:39.024000+00:00,S2B_MSIL2A_20220414T025539_R032_T48MXU_20240606T110746,11.536296,-6.11,106.16,6400.0,64,0.59033203125,0.25534000992774963,0.13029778003692627,chips/sentinel2_quarterly_2022.npz,9,sentinel-2-l2a,Microsoft Planetary Computer STAC
